word,synonyms
δε λογαριάζω,"['δεν υπολογίζω', 'ελεεινολογώ', 'αψηφώ', 'καταφρονώ', 'οικτίρω', 'υποτιμώ', 'περηφανεύομαι', 'περιφρονώ', 'προπηλακίζω']"
δε λυγίζω,"['εγκαρτερώ', 'βαστώ', 'διαρκώ', 'διατηρούμαι', 'αντιστέκομαι', 'αντέχω', 'επαρκώ', 'επιβιώνω', 'φτάνω', 'έχω αντοχή']"
δε σκοτίζομαι,"['αδιαφορώ', 'δεν ενδιαφέρομαι', 'αμελώ', 'αμεριμνώ']"
δε συμμετέχω,"['δεν υπάρχω', 'δεν παραβρίσκομαι', 'απουσιάζω', 'είμαι απών', 'λείπω']"
αβεβαιότητα,"['διστακτικότητα', 'αοριστία', 'αμφιβολία', 'αμφιταλάντευση', 'αστάθεια', 'ασάφεια', 'δίλημμα']"
αβεβαίωτος,"['αβάσιμος', 'αβέβαιος', 'ακαθόριστος', 'αθεμελίωτος', 'ανεδαφικός', 'αμαρτύρητος', 'ανυπόστατος', 'αμφίβολος', 'ασαφήνιστος', 'ασαφής', 'ασταθής', 'αστήριχτος', 'ασύστατος', 'άγνωστος', 'άστατος']"
αγγελικός,"['αγγελόπλαστος', 'θεόμορφος', 'ουράνιος', 'όμορφος', 'ωραίος', 'πεντάμορφος', 'πανέμορφος']"
αγγελιοφόρος,"['διαγγελέας', 'εξάγγελος', 'απεσταλμένος', 'απόστολος', 'μαντατοφόρος', 'σύνδεσμος', 'άγγελος']"
αγγελτήριο,"['ειδοποιητήριο', 'ειδοποίηση', 'γνωστοποίηση', 'άγγελμα']"
αγγελόπλαστος,"['αγγελικός', 'θεόμορφος', 'ουράνιος', 'όμορφος', 'ωραίος', 'πεντάμορφος', 'πανέμορφος']"
βεβαιώνω,"['διατρανώνω', 'επιβεβαιώνω', 'αποδεικνύω', 'καταδεικνύω', 'τεκμηριώνω', 'φανερώνω', 'προβάλλω']"
αγγελία,"['δηλοποίηση', 'διακήρυξη', 'αναγγελία', 'ανακοίνωση', 'γνωστοποίηση', 'κοινοποίηση', 'άγγελμα']"
εγγενής,"['ενστικτώδης', 'εμφυής', 'κληρονομικός', 'συμφυής', 'φυτευμένος', 'φυσικός', 'σύμφυτος', 'έμφυτος']"
αγγαρεία,"['αγγάρεμα', 'εξαναγκασμός', 'ανάγκαση', 'βία', 'υποχρέωση']"
αβγατίζω,"['εντείνω', 'αυξάνω', 'επεκτείνω', 'επαυξάνω', 'επιμηκύνω', 'επιτείνω', 'επιταχύνω', 'μεγαλώνω', 'πληθαίνω', 'πολλαπλασιάζω', 'προκόβω', 'προοδεύω']"
αβεβήλωτος,"['αγνός', 'αμαγάριστος', 'αμόλυντος', 'αμίαντος', 'απείραχτος', 'καθαρός', 'ιερός', 'άσπιλος']"
αγγείο,"['δοχείο', 'βάζο']"
βεβαίωση,"['διαβεβαίωση', 'απόδειξη', 'κατάδειξη', 'τεκμηρίωση', 'φανέρωμα', 'πιστοποιητικό']"
αδαημοσύνη,"['ανασκησία', 'αφθονία', 'ατζαμοσύνη', 'απειρία', 'απραγία', 'μεγάλο πλήθος', 'άγνοια', 'ποσότητα']"
αγεληδόν,"['αθρόα', 'κοπαδιαστά', 'σωρηδόν']"
αγαλλιάζω,"['αγάλλομαι', 'ευφραίνομαι', 'χαίρομαι']"
αγαθιάρης,"['ευκολόπιστος', 'απλοϊκός', 'απονήρευτος', 'κουτούτσικος', 'χαζούλης']"
αδειλία,"['αντρειοσύνη', 'αντρεία', 'αφοβία', 'αυτοπεποίθηση', 'αποφασιστικότητα', 'ηθικό', 'κουράγιο', 'θάρρος', 'οικειότητα', 'σθεναρότητα', 'σθένος', 'τόλμη', 'παρρησία']"
αγαλλίαση,"['ευφροσύνη', 'κέφι', 'χαρμονή', 'χαρμοσύνη', 'χαρά']"
αγαθοεργός,"['αγαθοποιός', 'ευεργέτης', 'δωρητής', 'φιλόπτωχος', 'σπλαχνικός']"
αγαθοεργία,"['ελεημοσύνη', 'ευεργεσία', 'ευποιία', 'καλό', 'φιλανθρωπία']"
αβαθμολόγητος,"['αγραδάριστος', 'ακατάτακτος', 'μη βαθμολογημένος']"
αβαθούλωτος,"['αγούβωτος', 'ακοίλαντος', 'άσκαφτος']"
αγαλούχητος,"['αβύζαχτος', 'αθήλαστος', 'αρώγιστος']"
αγαθοποιός,"['αγαθοεργός', 'ευεργέτης', 'δωρητής', 'φιλόπτωχος', 'σπλαχνικός']"
αβαθμίδωτος,['ακλιμάκωτος']
αβαλσάμωτος,['αταρίχευτος']
αδελφός,"['κοιλαδερφός', 'ομογάλακτος', 'ομογάστριος', 'ομομήτριος', 'σύγγονος']"
αδελφότητα,"['αδερφοσύνη', 'αγάπη', 'αλληλεγγύη', 'φιλία', 'συγγένεια', 'σύμπνοια']"
αγαθό,"['απολαβή', 'καρπός', 'κέρδος', 'συμφέρον', 'όφελος', 'ωφέλεια', 'ωφέλημα', 'πλεονέκτημα']"
αγαθός,"['αγαθόπιστος', 'αθώος', 'αφελής', 'ευκολόπιστος', 'εύπιστος', 'απλοϊκός', 'απλός', 'απονήρευτος', 'απόνηρος', 'άκακος']"
αδειάζω,"['εκκενώνω', 'ερημώνω', 'αφαιρώ τη γόμωση', 'ευκαιρώ', 'ξεγεμίζω', 'χηρεύω', 'χύνω']"
αγαθόπιστος,"['αγαθός', 'αθώος', 'αφελής', 'ευκολόπιστος', 'εύπιστος', 'απλοϊκός', 'απλός', 'απονήρευτος', 'απόνηρος', 'άκακος']"
αδελέαστος,"['αδέκαστος', 'αμερόληπτος', 'αντικειμενικός', 'αφατρίαστος', 'απροσωπόληπτος', 'δίκαιος']"
βδελύσσομαι,"['αηδιάζω', 'αναγουλιάζω', 'αντιπαθώ', 'απεχθάνομαι', 'αποστρέφομαι', 'αποστέργω', 'μισώ', 'σιχαίνομαι']"
αγαλήνευτος,"['ακαθησύχαστος', 'ακαλμάριστος', 'ακαταλάγιαστος', 'ακατασίγαστος', 'ακαταπράυντος', 'ανημέρευτος', 'αμέρευτος', 'αμέρωτος', 'ταραγμένος', 'φουρτουνιασμένος', 'τρικυμιώδης']"
αγανακτώ,"['εκνευρίζομαι', 'εξάπτομαι', 'ερεθίζομαι', 'δυσανασχετώ έντονα', 'δυσφορώ', 'απαυδώ', 'αποκάνω', 'θυμώνω', 'οργίζομαι', 'φρενιάζω']"
αβαντάζ,['αβαντάζ']
αδαμάλιστος,"['αβατσινάριστος', 'αβατσίνωτος', 'ανεμβολίαστος', 'αμπόλιαστος']"
αγανάκτηση,"['αναβρασμός', 'αναστάτωση', 'ερεθισμός', 'ταραχή', 'σάλος', 'έξαψη', 'χόχλασμα']"
αδαμάντινος,"['ανηλεής', 'ανάλγητος', 'ατσαλένιος', 'βάρβαρος', 'επαχθής', 'απηνής', 'απάνθρωπος', 'σκληρόκαρδος', 'σκληρός', 'τραχύς', 'συμπαγής', 'άκαμπτος', 'άκαρδος', 'ωμός', 'άτεγκτος']"
αγανός,"['αραιοϋφασμένος', 'αραιός', 'ξέσφιχτος', 'χαλαρός']"
αγενής,"['αδιάκριτος', 'αγροίκος', 'γαϊδούρι', 'ακαλλιέργητος', 'ανάγωγος', 'αμόρφωτος', 'βάναυσος', 'απαιδαγώγητος', 'απαίδευτος', 'κακοαναθρεμμένος', 'χοντράνθρωπος', 'χυδαίος']"
αγαμία,"['άγαμος βίος', 'έλλειψη συνουσιασμού']"
αβαρεσιά,['ακουρασιά']
γαβριάς,"['αλητόπαιδο', 'αλιτήριος', 'αλάνης', 'αλάνι', 'αλήτης', 'κακοήθης', 'μάγκας', 'μόρτης', 'σοκακόπαιδο', 'χαμίνι']"
αβερνίκωτος,"['αγυάλιστος', 'αλουστράριστος', 'αστίλβωτος', 'άβαφος']"
αδερφικός,"['αγαπημένος', 'αλτρουιστικός', 'αφίλαυτος', 'φιλικός']"
αδερφοσύνη,"['αδελφότητα', 'αγάπη', 'αλληλεγγύη', 'φιλία', 'συγγένεια', 'σύμπνοια']"
αδερφώνω,"['αγαπίζω', 'ειρηνεύω', 'μονοιάζω', 'φιλιώνω', 'συνδιαλλάσσω', 'συμβιβάζω', 'συμφιλιώνω']"
